D_lower,D_upper,B,C,C0,Pu,reference_speed,limiting_speed ,mass, designation,D_lower_1,D_upper_1,D_upper_2,r1_2_min,D_lower_a_min,D_upper_a_max,ra_max,kr,f0
25,47,8,8.06,4.75,0.212,32000,20000,0.06,*16005,33.3,40.7,–,0.3,27,45,0.3,0.02,15
25,47,12,11.9,6.55,0.275,32000,20000,0.078,*6005,32,40,42.2,0.6,28.2,43.8,0.6,0.025,14
25,52,15,14.8,7.8,0.335,28000,18000,0.13,*6205,34.3,44,46.3,1,30.6,46.4,1,0.025,14
25,52,15,17.8,9.8,0.4,28000,18000,0.12,6205 ETN9,33.1,44.5,–,1,30.6,46.4,1,0.025,13
25,62,17,23.4,11.6,0.49,24000,16000,0.23,*6305,36.6,50.4,52.7,1.1,32,55,1,0.03,12
25,62,17,26,13.4,0.57,24000,16000,0.22,6305 ETN9,36.3,51.7,–,1.1,32,55,1,0.03,12
25,80,21,35.8,19.3,0.815,20000,13000,0.54,6405,45.4,62.9,–,1.5,34,71,1.5,0.035,12
28,58,16,16.8,9.5,0.405,26000,16000,0.17,62/28,37,49,51.5,1,33.6,52.4,1,0.025,14
28,68,18,25.1,13.7,0.585,22000,14000,0.3,63/28,41.7,55.5,57.8,1.1,35,61,1,0.03,13
30,42,7,4.49,2.9,0.146,32000,20000,0.025,61806,33.7,38.4,–,0.3,32,40,0.3,0.015,14
30,47,9,7.28,4.55,0.212,30000,19000,0.049,61906,35.2,41.7,42.7,0.3,32,45,0.3,0.02,14
30,55,9,11.9,7.35,0.31,28000,17000,0.089,*16006,37.7,47.3,–,0.3,32,53,0.3,0.02,15
30,55,13,13.8,8.3,0.355,28000,17000,0.12,*6006,38.2,46.8,49,1,34.6,50.4,1,0.025,15
30,62,16,20.3,11.2,0.475,24000,15000,0.2,*6206,40.3,51.6,54.1,1,35.6,56.4,1,0.025,14
30,62,16,23.4,12.9,0.54,24000,15000,0.18,6206 ETN9,39.5,52.9,–,1,35.6,56.4,1,0.025,13
30,72,19,29.6,16,0.67,20000,13000,0.35,*6306,44.6,59.1,61.9,1.1,37,65,1,0.03,13
30,72,19,32.5,17.3,0.735,22000,14000,0.33,6306 ETN9,42.3,59.6,–,1.1,37,65,1,0.03,12
30,90,23,43.6,23.6,1,18000,11000,0.75,6406,50.3,69.7,–,1.5,41,79,1.5,0.035,12
35,47,7,4.36,3.35,0.14,30000,18000,0.029,61807,38.2,42.8,–,0.3,37,45,0.3,0.015,14
35,55,10,10.8,7.8,0.325,26000,16000,0.08,61907,42.2,50.1,52.2,0.6,38.2,51.8,0.6,0.02,16
35,62,9,13,8.15,0.375,24000,15000,0.11,*16007,44,53,–,0.3,37,60,0.3,0.02,14
35,62,14,16.8,10.2,0.44,24000,15000,0.15,*6007,43.7,53.3,55.7,1,39.6,57.4,1,0.025,15
